"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1046","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","41.864788","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","2","1","28.537811","0","11"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","1.903805","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","4.194305","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","23","1","1","48.214119","0","298"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","2.602185","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.227131","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.578735","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","26","1","1","127.739151","0","353"
"/OculusXR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","2.436185","0","3"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","9.522256","0","13"
"/OculusXR/Materials/PokeAHoleInverseMaterial.PokeAHoleInverseMaterial","21","2","2","1","5.812348","0","3"
"/OculusXR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","5.486794","0","3"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","16.502113","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","42","1","1","237.291031","0","944"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","21","1","1","108.103615","0","239"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","6.433210","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","7.067672","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","1","1","9.726965","0","23"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","4.071179","0","3"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","21","1","1","114.410477","0","251"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","1","1","33.216824","0","64"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","42","1","1","109.967781","0","944"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","21","84","1","1","219.341278","0","3166"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","189","1","1","844.999817","0","8249"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","21","1","1","99.227112","0","135"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","84","1","1","454.590363","0","1135"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","84","1","1","483.533539","0","1027"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","42","1","1","229.252701","0","390"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","6.458405","0","3"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","105","1","1","260.586334","0","1554"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","84","1","1","0.000000","0","1027"
"/OculusXR/Materials/RightMetaQuestTouchPlusMaterial.RightMetaQuestTouchPlusMaterial","21","21","1","1","120.744843","0","150"
"/OculusXR/Materials/LeftMetaQuestTouchPlusMaterial.LeftMetaQuestTouchPlusMaterial","21","21","1","1","0.000000","0","150"
"/OculusXR/Materials/RightMetaQuestTouchProMaterial.RightMetaQuestTouchProMaterial","21","21","1","1","122.317665","0","125"
"/OculusXR/Materials/LeftMetaQuestTouchProMaterial.LeftMetaQuestTouchProMaterial","21","21","1","1","0.000000","0","125"
"/OculusXR/Materials/TouchForQuest2Material.TouchForQuest2Material","21","21","1","1","116.245827","0","132"
"/OculusXR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","21","1","1","114.222916","0","152"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","10.201251","0","10"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","8.005251","0","13"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","2","2","63.575516","0","134"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","4.556074","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","4.153161","0","3"
"/OpenXR/Devices/M_XRController.M_XRController","21","63","7","3","290.513184","0","380"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","9","6","53.513474","0","77"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","1","1","8.000895","0","10"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","294","1","1","1633.244263","0","9380"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","864","2","1","4361.673828","0","61258"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","27","1","1","127.224312","0","270"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","6","1","1","9.458454","0","21"
